@relation 'generators.SineGenerator -s -b'

@attribute att1 numeric
@attribute att2 numeric
@attribute class {0,1}

@data

0.7308781907032909,0.41008081149220166,1
0.20771484130971707,0.3327170559595112,0
0.9677559094241207,0.006117182265761301,1
0.9637047970232077,0.9398653887819098,0
0.3971743421847056,0.34751802920311026,1
0.29405703200403677,0.5064836273262351,0
0.65989270869342,0.15674689056984625,1
0.6949479796024919,0.8052277714737137,0
0.7439844862373166,0.14202270321592614,1
0.481728301575598,0.5445548088936737,0
0.5771002613742765,0.20491354575856158,1
0.010684410982228831,0.16104332337170224,0
0.9738340099187002,0.24542655358129561,1
0.5923792438629387,0.6551736031294164,0
0.9843228006692949,0.20673750736050733,1
0.37464950029397015,0.46334978756947576,0
0.4287841787462007,0.3080929152084798,1
0.7173224016222269,0.9624145927337464,0
0.20949273346356434,0.17264882091400524,1
0.5489525169306556,0.5554683820879616,0
0.6990066224344805,0.20463555220568552,1
0.2549094512998157,0.7779163595195279,0
0.8239808754531598,0.12367122850292422,1
0.09975028132571628,0.6171458898614318,0
0.679935420191025,0.280001615782666,1
0.6039836876835672,0.8496408070142764,0
0.7442496201360502,0.4232327288662894,1
0.7298239289350995,0.8867444223713158,0
0.907281190118193,0.24648563130230905,1
0.2484887670873126,0.7068583347506787,0
0.3154227864574829,0.024472129835244494,1
0.6761231545253681,0.7155724849913587,0
0.1576306138076371,0.04217868395172397,1
0.3786228753606087,0.7866092457818081,0
0.7127521677660935,0.1102736115092493,1
0.31663147897269206,0.6670733531962961,0
0.42644304740942895,0.40055716131309627,1
0.44445661109533674,0.6915212116814826,0
0.6560824389883995,0.5722295925058892,1
0.17570195450010273,0.44479400596125773,0
0.8296912233491993,0.6019146360600576,1
0.06539702112886914,0.9380305012325801,0
0.2664167073273985,0.22917135836775204,1
0.3039764375623307,0.37194051348653157,0
0.38872927575292127,0.2652464610309502,1
0.03237285340092644,0.6697852634820785,0
0.17866235941017028,0.02963321139734998,1
0.1157884427761261,0.6912259325002929,0
0.3490107239093957,0.22813550225946921,1
0.16759999599955966,0.5946311329871145,0
0.8098898289838599,0.5149291408485576,1
0.6061902042033666,0.6815264621608791,0
0.5837433172059664,0.36975249929974696,1
0.22457387021115427,0.44459943474484964,0
0.7076135442545414,0.029797717682461533,1
0.31531501628136305,0.6961128822508109,0
0.12967758890382586,0.023598618121072,1
0.4699535995042926,0.8196823891995005,0
0.96909724727718,0.34998568701436705,1
0.8189424032001663,0.7478598072733377,0
0.3798630867370528,0.10770436318776633,1
